postal_code,population
602,41092
603,53851
606,6511
610,28633
612,65669
616,10830
617,24215
622,7653
623,42254
624,25907
627,34619
631,1813
637,24814
638,18626
641,30645
646,37726
647,6063
650,14819
652,4652
653,13103
656,21172
659,41398
660,16835
662,42580
664,16566
667,25469
669,29218
670,9672
674,43738
676,39826
677,14996
678,27388
680,56836
682,31978
683,33001
685,42097
687,32251
688,13365
690,6189
692,37022
693,60194
694,322
698,41082
703,28245
704,8461
705,25164
707,11978
714,19283
715,3512
716,33135
717,17854
718,26237
719,30546
720,22779
723,18941
725,87647
727,57557
728,44323
729,53121
730,35067
731,15347
735,13510
736,50693
738,34269
739,39206
740,2027
741,4903
745,54396
751,22776
754,40206
757,23019
765,8945
766,26194
767,37335
769,39701
771,37902
772,22776
773,19774
775,1762
777,40174
778,44848
780,13668
782,19052
783,36032
784,44031
786,352
791,52627
794,30203
795,48087
901,6852
906,4
907,16795
909,6096
911,8336
912,6621
913,9160
915,32205
917,20364
918,17348
920,17128
921,36621
923,28452
924,55253
925,8592
926,106626
927,14346
934,287
936,620
949,81226
950,9
951,34
952,9845
953,72428
956,77876
957,44987
959,49365
960,1778
961,31874
962,22162
965,8953
966,16233
968,3280
969,41400
971,30469
976,64260
979,16570
982,16033
983,38468
985,35931
987,62962
1001,15846
1002,28524
1003,10372
1005,4968
1007,14459
1008,1240
1009,715
1010,3557
1011,1351
1012,645
1013,22587
1020,28816
1022,2408
1026,925
1027,17220
1028,14952
1029,772
1030,11472
1031,1284
1032,563
1033,6140
1034,1992
1035,5001
1036,4957
1037,825
1038,2487
1039,1304
1040,38584
1050,2489
1053,1534
1054,1829
1056,20530
1057,8390
1060,14856
1062,10949
1063,430
1066,62
1068,1882
1069,8226
1070,621
1071,1573
1072,1466
1073,5717
1074,314
1075,16984
1077,9281
1079,680
1080,2270
1081,1681
1082,10081
1083,2838
1084,172
1085,40164
1086,687
1088,650
1089,27702
1092,1377
1093,317
1094,342
1095,13817
1096,2174
1097,110
1098,1081
1103,2463
1104,22353
1105,12222
1106,15326
1107,11507
1108,26365
1109,29865
1118,13694
1119,13785
1128,2584
1129,6877
1151,8565
1199,0
1201,45068
1220,8303
1222,809
1223,2293
1224,179
1225,3060
1226,6715
1229,92
1230,8147
1235,2716
1236,1468
1237,2449
1238,5848
1240,4105
1242,469
1243,334
1244,151
1245,969
1247,15650
1253,722
1254,954
1255,897
1256,683
1257,2062
1258,366
1259,624
1260,228
1262,1195
1264,131
1266,1428
1267,7592
1270,762
1301,17005
1330,1477
1331,12906
1337,2543
1338,182
1339,1413
1340,1669
1341,1817
1342,1465
1343,72
1344,1463
1346,525
1347,164
1349,1065
1350,119
1351,2229
1354,1474
1355,870
1360,2967
1364,7827
1366,1259
1367,508
1368,1248
1370,3974
1373,4507
1375,3614
1376,5100
1378,763
1379,811
1420,39438
1430,6023
1431,3046
1432,6977
1434,1790
1436,3239
1438,548
1440,19767
1450,10482
1451,4696
1452,4344
1453,39864
1460,8722
1462,9926
1463,11373
1464,7123
1467,306
1468,3985
1469,6728
1473,7169
1474,2111
1475,10144
1501,15535
1503,2815
1504,8866
1505,4279
1506,3341
1507,12674
1510,13325
1515,2142
1516,8431
1518,2911
1519,6527
1520,13640
1521,2461
1522,3269
1523,7458
1524,6581
1525,288
1527,12970
1529,3159
1531,976
1532,13893
1534,5457
1535,4586
1536,6763
1537,2218
1540,11135
1541,3375
1542,2163
1543,7897
1545,34506
1550,16239
1560,4451
1561,329
1562,11477
1564,7622
1566,6192
1568,7392
1569,13353
1570,16177
1571,11188
1581,17755
1583,7382
1585,4400
1588,9461
1590,8789
1602,22244
1603,19608
1604,33831
1605,25408
1606,18417
1607,8233
1608,3874
1609,21922
1610,23694
1611,2207
1612,4758
1701,30309
1702,36348
1718,466
1719,4954
1720,21061
1721,16381
1730,12745
1731,1394
1740,4848
1741,4817
1742,16989
1745,387
1746,13373
1747,5729
1748,14788
1749,18785
1752,37664
1754,9932
1756,5785
1757,27442
1760,32079
1770,4056
1772,9271
1773,4976
1775,6502
1776,17364
1778,12765
1801,37905
1803,24021
1810,32493
1821,29983
1824,24338
1826,28957
1827,3153
1830,24357
1832,21655
1833,8100
1834,6333
1835,13509
1840,4681
1841,46592
1843,24089
1844,46034
1845,27504
1850,15036
1851,29850
1852,32989
1854,27026
1860,6255
1862,10075
1863,8665
1864,14676
1867,23368
1876,28130
1879,11206
1880,24167
1886,21753
1887,21910
1890,20654
1901,1595
1902,44388
1904,17816
1905,24908
1906,26038
1907,13411
1908,3281
1913,15967
1915,38481
1921,7851
1922,3080
1923,25477
1929,3436
1930,28049
1937,151
1938,12800
1940,11758
1944,5022
1945,19334
1949,8857
1950,16938
1951,3496
1952,8167
1960,48828
1966,6692
1969,5757
1970,40318
1982,7645
1983,5887
1984,4769
1985,4177
2019,16139
2021,20793
2025,7346
2026,23744
2030,5530
2032,4148
2035,16613
2038,31229
2043,21266
2045,10134
2047,164
2048,22903
2050,25101
2052,11840
2053,12564
2054,7803
2056,10905
2061,10222
2062,27662
2066,17260
2067,17190
2071,1704
2072,26353
2081,17933
2090,14031
2093,10674
2108,3791
2109,3651
2110,1700
2111,7242
2113,6752
2114,11850
2115,28190
2116,20328
2118,26262
2119,25035
2120,15076
2121,25705
2122,23127
2124,47309
2125,33001
2126,25249
2127,31269
2128,39917
2129,16261
2130,34642
2131,29132
2132,24935
2134,21358
2135,41766
2136,28008
2138,35655
2139,36059
2140,17352
2141,11729
2142,3119
2143,24145
2144,23475
2145,25148
2148,58492
2149,40840
2150,34601
2151,50482
2152,17088
2155,56393
2163,2581
2169,53334
2170,19131
2171,17316
2176,26261
2180,20740
2184,34698
2186,26204
2188,14131
2189,14279
2190,15872
2191,8264
2199,1113
2203,0
2210,2087
2215,26004
2301,59818
2302,32298
2322,4256
2324,26229
2330,11303
2332,14611
2333,13593
2338,7384
2339,13674
2341,10108
2343,10545
2346,22667
2347,10444
2351,15783
2356,12376
2357,1359
2359,17652
2360,55079
2364,12251
2366,197
2367,2791
2368,31498
2370,17133
2375,9057
2379,6678
2382,14324
2420,13592
2421,16713
2445,20356
2446,28547
2451,17054
2452,13915
2453,28459
2457,1431
2458,11823
2459,18620
2460,8512
2461,6936
2462,1428
2464,2845
2465,11363
2466,7739
2467,21921
2468,5158
2472,31277
2474,25687
2476,15973
2478,24021
2481,15927
2482,10002
2492,19238
2493,10888
2494,8607
2532,12370
2534,812
2535,1137
2536,19153
2537,6186
2538,3561
2539,4006
2540,7644
2542,1139
2543,597
2553,222
2554,9701
2556,2944
2557,4343
2558,2109
2559,3215
2561,520
2562,2915
2563,10074
2564,299
2568,3900
2571,10217
2575,2684
2576,3684
2584,10
2601,13676
2630,1777
2631,9109
2632,10307
2633,3685
2635,3201
2637,246
2638,3055
2639,2794
2641,500
2642,4721
2643,23
2644,3926
2645,9227
2646,1569
2647,121
2648,7178
2649,13625
2650,709
2651,13
2652,1147
2653,5522
2655,3365
2657,2849
2659,1056
2660,5943
2663,171
2664,8787
2666,806
2667,2498
2668,3228
2669,267
2670,1226
2671,967
2672,173
2673,8091
2675,6160
2702,4088
2703,42706
2713,52
2715,3069
2717,4683
2718,6584
2719,15205
2720,29231
2721,25558
2723,14442
2724,16472
2725,2404
2726,15006
2738,4713
2739,5897
2740,41741
2743,10076
2744,11677
2745,23787
2746,15057
2747,22407
2748,10970
2760,26331
2762,8151
2763,1957
2764,3908
2766,18756
2767,13302
2769,11474
2770,5020
2771,13468
2777,15411
2779,6369
2780,47890
2790,15378
2791,228
2802,781
2804,2566
2806,15900
2807,1024
2808,2366
2809,22113
2812,1482
2813,7690
2814,7400
2815,273
2816,31849
2817,6070
2818,17479
2822,6051
2825,5294
2826,784
2827,2138
2828,7258
2830,5890
2831,3468
2832,4554
2833,778
2835,5295
2836,136
2837,3410
2838,3190
2839,1886
2840,22776
2841,1392
2842,15509
2852,22107
2857,8266
2858,565
2859,6542
2860,44431
2861,25489
2863,19136
2864,32464
2865,16492
2871,16775
2872,211
2873,234
2874,5801
2875,305
2876,427
2878,15334
2879,19671
2881,7792
2882,13892
2885,10254
2886,28128
